1,Paid,1/8/2019 4:05,1,83,armandenderle@gmail.com
2,Paid,1/9/2019 4:05,1,115,albertoscarlett@gmail.com
3,Paid,1/10/2019 4:05,1,113,wyattruoff@gmail.com
4,Paid,1/11/2019 4:05,1,52,alfonsodenmark@gmail.com
5,Paid,1/12/2019 4:05,1,67,pearlstraube@gmail.com
6,Paid,1/13/2019 4:05,1,109,vincentwohlwend@gmail.com
7,Paid,1/14/2019 4:05,1,10,breanneflick@gmail.com
8,Paid,1/15/2019 4:05,1,68,annetteonken@gmail.com
9,Paid,1/16/2019 4:05,1,116,dorothysherk@gmail.com
10,Paid,1/17/2019 4:05,1,16,inalecroy@gmail.com
11,Paid,1/18/2019 4:05,1,101,alanepiland@gmail.com
12,Paid,1/19/2019 4:05,1,87,allinebodiford@gmail.com
13,Paid,1/20/2019 4:05,1,34,novaimburgia@gmail.com
14,Paid,1/21/2019 4:05,1,48,tomekaamerson@gmail.com
15,Paid,1/22/2019 4:05,1,5,drusillakogan@gmail.com
16,Paid,1/23/2019 4:05,1,65,lloydwoodruff@gmail.com
17,Paid,1/24/2019 4:05,1,76,conniesmolen@gmail.com
18,Paid,1/25/2019 4:05,1,56,maryettapalmateer@gmail.com
19,Paid,1/26/2019 4:05,1,57,krystletrembath@gmail.com
20,Paid,1/27/2019 4:05,1,30,julietamarts@gmail.com
21,Paid,1/28/2019 4:05,1,78,cleliahodgins@gmail.com
22,Paid,1/29/2019 4:05,1,2,williewoodham@gmail.com
23,Paid,1/30/2019 4:05,1,3,aimeevanderploeg@gmail.com
24,Paid,1/31/2019 4:05,1,87,veronikaluoma@gmail.com
25,Paid,2/1/2019 4:05,1,116,clydeknell@gmail.com
26,Paid,2/2/2019 4:05,1,35,yvonnehonig@gmail.com
27,Paid,2/3/2019 4:05,1,120,leeannesauer@gmail.com
28,Paid,2/4/2019 4:05,1,33,sharitamedellin@gmail.com
29,Paid,2/5/2019 4:05,1,85,antionenuttall@gmail.com
30,Paid,2/6/2019 4:05,1,78,meloniehelmers@gmail.com
31,Paid,2/7/2019 4:05,1,66,brittjarrett@gmail.com
32,Paid,2/8/2019 4:05,1,67,geribermudes@gmail.com
33,Paid,2/9/2019 4:05,1,117,estelacovington@gmail.com
34,Paid,2/10/2019 4:05,1,111,annelieserinaldi@gmail.com
35,Paid,2/11/2019 4:05,1,85,frankiehusted@gmail.com
36,Paid,2/12/2019 4:05,1,109,neliakernan@gmail.com
37,Paid,2/13/2019 4:05,1,53,thufuentes@gmail.com
38,Paid,2/14/2019 4:05,1,46,candieolivarria@gmail.com
39,Paid,2/15/2019 4:05,1,97,linneapundt@gmail.com
40,Paid,2/16/2019 4:05,1,56,leandrocaudillo@gmail.com
41,Paid,2/17/2019 4:05,1,57,hienmontufar@gmail.com
42,Paid,2/18/2019 4:05,1,68,harleycano@gmail.com
43,Paid,2/19/2019 4:05,1,26,abbeybolds@gmail.com
44,Paid,2/20/2019 4:05,1,40,soniaeffler@gmail.com
45,Paid,2/21/2019 4:05,1,5,ritamcclain@gmail.com
46,Paid,2/22/2019 4:05,1,83,adelestjean@gmail.com
47,Paid,2/23/2019 4:05,1,13,yasminvento@gmail.com
48,Paid,2/24/2019 4:05,1,76,marilaxson@gmail.com
49,Paid,2/25/2019 4:05,1,117,felishagodoy@gmail.com
50,Paid,2/26/2019 4:05,1,33,isabellepasillas@gmail.com
51,Paid,2/27/2019 4:05,1,103,charlesgiven@gmail.com
52,Paid,2/28/2019 4:05,1,52,adalbertodonald@gmail.com
53,Paid,3/1/2019 4:05,1,85,yevettemars@gmail.com
54,Paid,3/2/2019 4:05,1,71,asleyaparicio@gmail.com
55,Paid,3/3/2019 4:05,1,37,darenmax@gmail.com
56,Paid,3/4/2019 4:05,1,85,teenascudder@gmail.com
57,Paid,3/5/2019 4:05,1,67,claribelbrugh@gmail.com
58,Paid,3/6/2019 4:05,1,60,alecwheless@gmail.com
59,Paid,3/7/2019 4:05,1,93,isaacbachman@gmail.com
60,Paid,3/8/2019 4:05,1,31,marthalustig@gmail.com
61,Paid,3/9/2019 4:05,1,55,ellistannard@gmail.com
62,Paid,3/10/2019 4:05,1,8,missysteenberg@gmail.com
63,Paid,3/11/2019 4:05,1,34,luzgrable@gmail.com
64,Paid,3/12/2019 4:05,1,13,judsondudek@gmail.com
65,Paid,3/13/2019 4:05,1,118,maxbento@gmail.com
